rgn_name,rgn_id,rgn_code,year,species,harvest_kgs,stock_id,assessed,rgn_catch,catch_prop
North Coast,1,NC,2009,dungeness_crab,1100408,NA,0,5081576.212980492,0.21654855774653015
Haida Gwaii,2,HG,2009,dungeness_crab,4535683,NA,0,14117849.720231751,0.32127293390154776
Central Coast,3,CC,2009,dungeness_crab,14945,NA,0,5085115.877180197,0.0029389694081636765
North Vancouver Island,4,NV,2009,dungeness_crab,625230,NA,0,6861057.560052206,0.09112735092623864
Pacific Offshore,7,PO,2009,dungeness_crab,0,NA,0,9615.72,0
West Vancouver Island,5,WV,2008,dungeness_crab,1053820,NA,0,15511990.370206352,0.06793583381949851
Strait of Georgia,6,SG,2008,dungeness_crab,3010823,NA,0,12167682.550480561,0.24744424318343905
North Coast,1,NC,2008,dungeness_crab,2145295,NA,0,9152255.537298894,0.23440068857967455
Haida Gwaii,2,HG,2008,dungeness_crab,7126769,NA,0,11240284.73,0.6340381201357699
Central Coast,3,CC,2008,dungeness_crab,4333,NA,0,4152124.140710771,0.0010435622474568563
North Vancouver Island,4,NV,2008,dungeness_crab,600529,NA,0,4422887.674816839,0.13577758336918858
Aristazabal Island,8,AZ,2008,dungeness_crab,0,NA,0,1142380.2229039313,0
Pacific Offshore,7,PO,2008,dungeness_crab,0,NA,0,12437.29,0
West Vancouver Island,5,WV,2007,dungeness_crab,613037,NA,0,10667102.251645884,0.05746987190503506
Strait of Georgia,6,SG,2007,dungeness_crab,3050063,NA,0,13399208.115038458,0.22763009379463212
North Coast,1,NC,2007,dungeness_crab,1920573,NA,0,4634037.613483222,0.41444916079487354
Haida Gwaii,2,HG,2007,dungeness_crab,8045446,NA,0,11755290.6,0.684410643153305
Central Coast,3,CC,2007,dungeness_crab,4855,NA,0,9862748.438992398,4.92256294483366e-4
North Vancouver Island,4,NV,2007,dungeness_crab,556119,NA,0,4939794.8401448,0.11257937181530772
Aristazabal Island,8,AZ,2007,dungeness_crab,3321,NA,0,187168.9044411718,0.017743331938152196
Pacific Offshore,7,PO,2007,dungeness_crab,0,NA,0,9217.08,0
West Vancouver Island,5,WV,2015,halibut,250033.36,PHALNPAC,1,1088208.43,0.22976605685732465
Strait of Georgia,6,SG,2015,halibut,0,PHALNPAC,1,0,NaN
North Coast,1,NC,2015,halibut,394196.54,PHALNPAC,1,554189.4199999999,0.711302897121349
Haida Gwaii,2,HG,2015,halibut,2290002.19,PHALNPAC,1,3779299.05,0.6059330472935186
Central Coast,3,CC,2015,halibut,499046.55,PHALNPAC,1,773248.77,0.6453893874283175
North Vancouver Island,4,NV,2015,halibut,143060.29,PHALNPAC,1,433288.1,0.3301735958130399
Aristazabal Island,8,AZ,2015,halibut,20401.06,PHALNPAC,1,20479.850000000002,0.9961528038535438
Pacific Offshore,7,PO,2015,halibut,12083.53,PHALNPAC,1,48695.23,0.24814607098066896
West Vancouver Island,5,WV,2014,halibut,178270.58,PHALNPAC,1,668048.3099999999,0.2668528268561895
Strait of Georgia,6,SG,2014,halibut,0,PHALNPAC,1,0,NaN
North Coast,1,NC,2014,halibut,325511,PHALNPAC,1,549029.61,0.5928842344222564
Haida Gwaii,2,HG,2014,halibut,2239611.23,PHALNPAC,1,3344699.98,0.6696000368917991
Central Coast,3,CC,2014,halibut,610364.96,PHALNPAC,1,962870.7,0.633901270440569
North Vancouver Island,4,NV,2014,halibut,121314.39,PHALNPAC,1,266794.42,0.45471112176933837
Aristazabal Island,8,AZ,2014,halibut,43026.37,PHALNPAC,1,43060.19,0.9992145877665658
Pacific Offshore,7,PO,2014,halibut,7880.29,PHALNPAC,1,47954.08,0.1643299172875384
